1000,9.788739,0.900000,9.722002,0.750000
2000,8.027383,1.000000,8.132967,0.930000
3000,7.036375,0.800000,6.944871,0.910000
4000,5.893494,1.000000,5.995041,0.940000
5000,5.232647,0.900000,5.227472,0.980000
